country,activeworkers,keystrokes ,mouseevents,dayoftheweek,hour
Armenia,0.1214285714,105.6957310658,54.7224221705,1,14
Armenia,0.123992674,104.8403515134,56.7033703096,1,15
Armenia,0.1222527473,114.8953057213,61.1576114722,1,16
Armenia,0.1184981685,103.9003175543,60.6265217001,1,17
Armenia,0.1098901099,99.0673833764,56.9091459973,1,18
Armenia,0.0993589744,95.7845522805,56.4481037427,1,19
Armenia,0.0806776557,96.1389986386,54.602954002,1,20
Armenia,0.0674908425,104.5751042215,51.4486123666,1,21
Armenia,0.0597985348,111.2688523056,49.8279233751,1,22
Armenia,0.0529304029,101.2948163722,47.614145518,1,23
Armenia,0.043040293,101.8221597405,47.6666430587,2,0
Armenia,0.0318681319,105.4934432875,47.1443675001,2,1
Armenia,0.0219421102,83.5365357367,40.0120705426,2,2
Armenia,0.0132783883,75.968733966,41.8276146006,2,3
Armenia,0.0112169312,56.0238721892,38.5467057542,2,4
Armenia,0.0142857143,50.006794222,29.4106278154,2,5
Armenia,0.014659197,78.8726774771,46.4409694883,2,6
Armenia,0.0189542484,89.417905807,43.3504207151,2,7
Armenia,0.0340952381,94.3967929137,41.2718021151,2,8
Armenia,0.0565018315,95.4135652154,43.6075640719,2,9
Armenia,0.0854395604,94.6711483482,45.9571480699,2,10
Armenia,0.1038461538,98.6975495223,51.0091919762,2,11
Armenia,0.1147435897,105.2471298696,52.4235504479,2,12
Armenia,0.1195054945,110.4884238764,50.0306883709,2,13
Armenia,0.1227106227,108.5308658863,52.5449781069,2,14
Armenia,0.1249084249,110.2717867351,56.6011694321,2,15
Armenia,0.121978022,117.4300503484,61.347397242,2,16
Armenia,0.1212454212,115.4162272368,60.0539443822,2,17
Armenia,0.111996337,102.2387834126,60.1293838169,2,18
Armenia,0.0960622711,99.6551023138,57.2378826887,2,19
Armenia,0.0830586081,111.3797662462,53.9267501664,2,20
Armenia,0.070970696,111.3533756901,49.9968784576,2,21
Armenia,0.0629120879,99.9609304611,48.2199479386,2,22
Armenia,0.0532967033,95.1608659188,50.0822727877,2,23
Armenia,0.0421245421,95.6340062042,48.3774094729,3,0
Armenia,0.0321428571,108.2536411084,45.6955316177,3,1
Armenia,0.0223443223,101.5871581166,54.4869237363,3,2
Armenia,0.0155490768,83.0806796101,46.3134745625,3,3
Armenia,0.0124458874,71.742046785,43.3122196484,3,4
Armenia,0.0133928571,52.4776387655,35.3896949516,3,5
Armenia,0.0151260504,77.8546249097,49.8292304033,3,6
Armenia,0.0198879552,84.0813876121,45.6168513693,3,7
Armenia,0.0328571429,87.7362258092,41.0202865619,3,8
Armenia,0.0573295985,109.0609140364,43.9443678537,3,9
Armenia,0.0836080586,98.6029586178,47.0107382445,3,10
Armenia,0.1053113553,87.543109882,48.7436904197,3,11
Armenia,0.1173992674,110.5353956793,55.1567614941,3,12
Armenia,0.1238095238,111.7270566768,50.3731714086,3,13
Armenia,0.1263736264,110.8269102966,53.9727087737,3,14
Armenia,0.128021978,108.4276991076,57.2935591214,3,15
Armenia,0.1234432234,114.1750718072,60.3883145463,3,16
Armenia,0.1216117216,108.6822483739,59.0181468671,3,17
Armenia,0.1147435897,104.6947522113,59.3440960177,3,18
Armenia,0.0988095238,94.1082437558,55.7672334637,3,19
Armenia,0.0815018315,96.6401078444,56.2209515983,3,20
Armenia,0.0684065934,107.7301545334,49.4509264834,3,21
Armenia,0.0623626374,108.4148090918,49.1314426373,3,22
Armenia,0.056043956,125.2656530646,49.3127742174,3,23
Armenia,0.0495421245,113.4175910578,46.9547275259,4,0
Armenia,0.0371794872,100.7756398439,45.3076092272,4,1
Armenia,0.0224358974,99.2655198175,36.9261779415,4,2
Armenia,0.0148571429,79.7905468847,43.0359365141,4,3
Armenia,0.0124458874,60.781943288,23.8634585071,4,4
Armenia,0.0147619048,47.4885177581,30.4583615503,4,5
Armenia,0.0166666667,80.6025912876,43.2319812173,4,6
Armenia,0.018952381,78.7762300308,41.5921741628,4,7
Armenia,0.0323809524,77.8882837718,38.9119119487,4,8
Armenia,0.0564892624,93.0934381412,42.0574214697,4,9
Armenia,0.0786630037,97.0557561883,44.7205679831,4,10
Armenia,0.1006410256,93.4119785018,48.8701274151,4,11
Armenia,0.1145604396,100.5494324747,49.7162278747,4,12
Armenia,0.1164835165,106.9784161333,49.2055426174,4,13
Armenia,0.118956044,111.8121594441,53.1262398709,4,14
Armenia,0.1226190476,114.8644035747,56.974533162,4,15
Armenia,0.1195054945,113.9421724688,60.0427060811,4,16
Armenia,0.1134615385,106.1760553217,58.7462365797,4,17
Armenia,0.1008241758,105.458075032,57.5625040345,4,18
Armenia,0.0865384615,96.7828525526,54.4776628258,4,19
Armenia,0.0724358974,94.6208423488,53.1156931812,4,20
Armenia,0.059981685,102.5980802534,49.8875667804,4,21
Armenia,0.0549450549,102.9586662136,46.8367431214,4,22
Armenia,0.0488095238,93.8815792643,49.9147509196,4,23
Armenia,0.038003663,89.1742232054,53.5964791669,5,0
Armenia,0.0293956044,94.6593550739,43.3330256084,5,1
Armenia,0.0205128205,82.9806280497,44.4715612359,5,2
Armenia,0.0153333333,75.8682671988,35.7642874668,5,3
Armenia,0.0124867725,59.2861114262,28.393974398,5,4
Armenia,0.0108695652,50.535308398,26.1463185384,5,5
Armenia,0.0125138427,44.8856144453,31.6639150827,5,6
Armenia,0.0133786848,55.4153779249,36.8040778796,5,7
